Rot.No.	 yy  	mm    day   	  Date    	Julian date
    64  	1858 	 7  25.2716 	1858.56239	2399885.77160
    65  	1858 	 8  21.5008 	1858.63699	2399913.00079
    66  	1858 	 9  17.7597 	1858.71167	2399940.25965
    67  	1858 	10  15.0432 	1858.78642	2399967.54323
    68  	1858 	11  11.3440 	1858.86122	2399994.84400
    69  	1858 	12   8.6589 	1858.93605	2400022.15889
    70  	1859 	 1   4.9875 	1859.01092	2400049.48748
    71  	1859 	 2   1.3282 	1859.08583	2400076.82823
    72  	1859 	 2  28.6654 	1859.16073	2400104.16541
    73  	1859 	 3  27.9769 	1859.23555	2400131.47693
    74  	1859 	 4  24.2465 	1859.31026	2400158.74647
    75  	1859 	 5  21.4740 	1859.38486	2400185.97400
    76  	1859 	 6  17.6757 	1859.45939	2400185.97400
    77  	1859 	 7  14.8753 	1859.53390	2400240.37524
    78  	1859 	 8  11.0935 	1859.60848	2400267.59350
    79  	1859 	 9   7.3408 	1859.68313	2400294.84079
    80  	1859 	10   4.6155 	1859.75785	2400322.11554
    81  	1859 	10  31.9102 	1859.83263	2400349.41020
    82  	1859 	11  28.2195 	1859.90745	2400376.71953
    83  	1859 	12  25.5434 	1859.98231	2400404.04338
    84  	1860 	 1  21.8799 	1860.05705	2400431.37985
    85  	1860 	 2  18.2209 	1860.13175	2400458.72091
    86  	1860 	 3  16.5451 	1860.20641	2400486.04509
    87  	1860 	 4  12.8321 	1860.28096	2400513.33207
    88  	1860 	 5  10.0748 	1860.35540	2400540.57484
    89  	1860 	 6   6.2839 	1860.42974	2400567.78395
    90  	1860 	 7   3.4814 	1860.50405	2400594.98141
    91  	1860 	 7  30.6904 	1860.57839	2400622.19041
    92  	1860 	 8  26.9260 	1860.65280	2400649.42595
    93  	1860 	 9  23.1908 	1860.72730	2400676.69082
    94  	1860 	10  20.4788 	1860.80185	2400703.97875
    95  	1860 	11  16.7827 	1860.87646	2400731.28273
    96  	1860 	12  14.1009 	1860.95110	2400758.60088
    97  	1861 	 1  10.4326 	1861.02584	2400785.93262
    98  	1861 	 2   6.7743 	1861.10075	2400813.27427
    99  	1861 	 3   6.1077 	1861.17564	2400840.60772
   100  	1861 	 4   2.4109 	1861.25044	2400867.91093
   101  	1861 	 4  29.6705 	1861.32512	2400895.17051
   102  	1861 	 5  26.8905 	1861.39970	2400922.39045
   103  	1861 	 6  23.0895 	1861.47422	2400949.58947
   104  	1861 	 7  20.2915 	1861.54874	2400976.79152
   105  	1861 	 8  16.5157 	1861.62333	2401004.01568
   106  	1861 	 9  12.7695 	1861.69800	2401031.26954
   107  	1861 	10  10.0495 	1861.77274	2401058.54948
   108  	1861 	11   6.3478 	1861.84753	2401085.84777
   109  	1861 	12   3.6603 	1861.92236	2401113.16029
   110  	1861 	12  30.9875 	1861.99723	2401140.48747
   111  	1862 	 1  27.3260 	1862.07213	2401167.82597
   112  	1862 	 2  23.6652 	1862.14703	2401195.16524
   113  	1862 	 3  22.9827 	1862.22187	2401222.48266
   114  	1862 	 4  19.2599 	1862.29660	2401249.75993
   115  	1862 	 5  16.4939 	1862.37122	2401276.99390
   116  	1862 	 6  12.6984 	1862.44575	2401304.19840
   117  	1862 	 7   9.8966 	1862.52026	2401331.39662
   118  	1862 	 8   6.1106 	1862.59482	2401358.61057
   119  	1862 	 9   2.3527 	1862.66946	2401385.85270
   120  	1862 	 9  29.6233 	1862.74417	2401413.12326
   121  	1862 	10  26.9151 	1862.81895	2401440.41508
   122  	1862 	11  23.2220 	1862.89376	2401467.72203
   123  	1862 	12  20.5433 	1862.96861	2401495.04326
   124  	1863 	 1  16.8777 	1863.04350	2401522.37770
   125  	1863 	 2  13.2194 	1863.11841	2401549.71935
   126  	1863 	 3  12.5481 	1863.19328	2401577.04807
   127  	1863 	 4   8.8425 	1863.26806	2401604.34251
   128  	1863 	 5   6.0927 	1863.34272	2401631.59267
   129  	1863 	 6   2.3063 	1863.41728	2401658.80626
   130  	1863 	 6  29.5040 	1863.49179	2401686.00399
   131  	1863 	 7  26.7096 	1863.56633	2401713.20955
   132  	1863 	 8  22.9399 	1863.64093	2401740.43987
   133  	1863 	 9  19.1999 	1863.71562	2401767.69986
   134  	1863 	10  16.4843 	1863.79037	2401794.98428
   135  	1863 	11  12.7857 	1863.86517	2401822.28573
   136  	1863 	12  10.1013 	1863.94000	2401849.60134
   137  	1864 	 1   6.4307 	1864.01484	2401876.93071
   138  	1864 	 2   2.7719 	1864.08954	2401904.27185
   139  	1864 	 3   1.1085 	1864.16423	2401931.60851
   140  	1864 	 3  28.4185 	1864.23885	2401958.91853
   141  	1864 	 4  24.6861 	1864.31335	2401986.18608
   142  	1864 	 5  21.9120 	1864.38774	2402013.41194
   143  	1864 	 6  18.1128 	1864.46206	2402040.61285
   144  	1864 	 7  15.3126 	1864.53637	2402067.81260
   145  	1864 	 8  11.5318 	1864.61074	2402095.03181
   146  	1864 	 9   7.7803 	1864.68519	2402122.28027
   147  	1864 	10   5.0561 	1864.75972	2402149.55606
   148  	1864 	11   1.3515 	1864.83429	2402176.85153
   149  	1864 	11  28.6616 	1864.90891	2402204.16163
   150  	1864 	12  25.9863 	1864.98357	2402231.48632
   151  	1865 	 1  22.3234 	1865.05842	2402258.82340
   152  	1865 	 2  18.6643 	1865.13333	2402286.16433
   153  	1865 	 3  17.9873 	1865.20818	2402313.48733
   154  	1865 	 4  14.2724 	1865.28294	2402340.77242
   155  	1865 	 5  11.5134 	1865.35757	2402368.01336
   156  	1865 	 6   7.7214 	1865.43211	2402395.22138
   157  	1865 	 7   4.9188 	1865.50663	2402422.41880
   158  	1865 	 8   1.1286 	1865.58117	2402449.62860
   159  	1865 	 8  28.3654 	1865.65580	2402476.86535
   160  	1865 	 9  24.6313 	1865.73050	2402504.13132
   161  	1865 	10  21.9200 	1865.80526	2402531.42000
   162  	1865 	11  18.2246 	1865.88007	2402558.72457
   163  	1865 	12  15.5433 	1865.95491	2402586.04333
   164  	1866 	 1  11.8757 	1866.02980	2402613.37565
   165  	1866 	 2   8.2174 	1866.10471	2402640.71743
   166  	1866 	 3   7.5501 	1866.17959	2402668.05012
   167  	1866 	 4   3.8517 	1866.25439	2402695.35174
   168  	1866 	 5   1.1096 	1866.32907	2402722.60955
   169  	1866 	 5  28.3283 	1866.40364	2402749.82825
   170  	1866 	 6  24.5270 	1866.47816	2402777.02694
   171  	1866 	 7  21.7296 	1866.55268	2402804.22959
   172  	1866 	 8  17.9549 	1866.62727	2402831.45485
   173  	1866 	 9  14.2098 	1866.70194	2402858.70978
   174  	1866 	10  11.4905 	1866.77669	2402885.99047
   175  	1866 	11   7.7892 	1866.85148	2402913.28925
   176  	1866 	12   5.1023 	1866.92631	2402940.60228
   177  	1867 	 1   1.4290 	1867.00118	2402967.92903
   178  	1867 	 1  28.7690 	1867.07608	2402995.26904
   179  	1867 	 2  25.1081 	1867.15098	2403022.60807
   180  	1867 	 3  24.4244 	1867.22582	2403049.92434
   181  	1867 	 4  20.6999 	1867.30055	2403077.19993
   182  	1867 	 5  17.9324 	1867.37516	2403104.43242
   183  	1867 	 6  14.1362 	1867.44969	2403131.63617
   184  	1867 	 7  11.3345 	1867.52420	2403158.83455
   185  	1867 	 8   7.5493 	1867.59877	2403186.04929
   186  	1867 	 9   3.7924 	1867.67340	2403213.29243
   187  	1867 	10   1.0638 	1867.74812	2403240.56378
   188  	1867 	10  28.3561 	1867.82289	2403267.85612
   189  	1867 	11  24.6636 	1867.89771	2403295.16358
   190  	1867 	12  21.9855 	1867.97256	2403322.48550
   191  	1868 	 1  18.3206 	1868.04732	2403349.82059
   192  	1868 	 2  14.6624 	1868.12203	2403377.16237
   193  	1868 	 3  12.9903 	1868.19669	2403404.49029
   194  	1868 	 4   9.2831 	1868.27127	2403431.78315
   195  	1868 	 5   6.5316 	1868.34571	2403459.03161
   196  	1868 	 6   2.7441 	1868.42007	2403486.24407
   197  	1868 	 6  29.9416 	1868.49438	2403513.44163
   198  	1868 	 7  27.1479 	1868.56871	2403540.64787
   199  	1868 	 8  23.3793 	1868.64311	2403567.87931
   200  	1868 	 9  19.6403 	1868.71760	2403595.14034
   201  	1868 	10  16.9255 	1868.79215	2403622.42552
   202  	1868 	11  13.2275 	1868.86674	2403649.72751
   203  	1868 	12  10.5437 	1868.94138	2403677.04369
   204  	1869 	 1   6.8737 	1869.01609	2403704.37365
   205  	1869 	 2   3.2150 	1869.09100	2403731.71500
   206  	1869 	 3   2.5510 	1869.16589	2403759.05101
   207  	1869 	 3  29.8595 	1869.24071	2403786.35948
   208  	1869 	 4  26.1252 	1869.31541	2403813.62517
   209  	1869 	 5  23.3496 	1869.39000	2403840.84963
   210  	1869 	 6  19.5501 	1869.46452	2403868.05007
   211  	1869 	 7  16.7504 	1869.53904	2403895.25038
   212  	1869 	 8  12.9708 	1869.61362	2403922.47079
   213  	1869 	 9   9.2206 	1869.68828	2403949.72056
   214  	1869 	10   6.4973 	1869.76301	2403976.99731
   215  	1869 	11   2.7934 	1869.83779	2404004.29337
   216  	1869 	11  30.1039 	1869.91261	2404031.60394
   217  	1869 	12  27.4291 	1869.98748	2404058.92911
   218  	1870 	 1  23.7665 	1870.06237	2404086.26648
   219  	1870 	 2  20.1071 	1870.13728	2404113.60705
   220  	1870 	 3  19.4288 	1870.21213	2404140.92881
   221  	1870 	 4  15.7122 	1870.28688	2404168.21214
   222  	1870 	 5  12.9515 	1870.36151	2404195.45153
   223  	1870 	 6   9.1588 	1870.43605	2404222.65880
   224  	1870 	 7   6.3565 	1870.51057	2404249.85647
   225  	1870 	 8   2.5673 	1870.58512	2404277.06731
   226  	1870 	 8  29.8053 	1870.65974	2404304.30534
   227  	1870 	 9  26.0723 	1870.73444	2404331.57233
   228  	1870 	10  23.3616 	1870.80921	2404358.86161
   229  	1870 	11  19.6666 	1870.88402	2404386.16656
   230  	1870 	12  16.9858 	1870.95887	2404413.48575
   231  	1871 	 1  13.3185 	1871.03375	2404440.81848
   232  	1871 	 2   9.6603 	1871.10866	2404468.16027
   233  	1871 	 3   8.9921 	1871.18354	2404495.49213
   234  	1871 	 4   5.2922 	1871.25833	2404522.79218
   235  	1871 	 5   2.5483 	1871.33301	2404550.04829
   236  	1871 	 5  29.7658 	1871.40758	2404577.26582
   237  	1871 	 6  25.9643 	1871.48209	2404604.46433
   238  	1871 	 7  23.1677 	1871.55662	2404631.66769
   239  	1871 	 8  19.3941 	1871.63122	2404658.89414
   240  	1871 	 9  15.6503 	1871.70589	2404686.15025
   241  	1871 	10  12.9318 	1871.78064	2404713.43181
   242  	1871 	11   9.2312 	1871.85543	2404740.73117
   243  	1871 	12   6.5448 	1871.93026	2404768.04477
   244  	1872 	 1   2.8721 	1872.00512	2404795.37214
   245  	1872 	 1  30.2125 	1872.07982	2404822.71245
   246  	1872 	 2  26.5510 	1872.15451	2404850.05097
   247  	1872 	 3  24.8658 	1872.22914	2404877.36578
   248  	1872 	 4  21.1394 	1872.30366	2404904.63939
   249  	1872 	 5  18.3702 	1872.37806	2404931.87019
   250  	1872 	 6  14.5731 	1872.45239	2404959.07314
   251  	1872 	 7  11.7718 	1872.52670	2404986.27177
   252  	1872 	 8   7.9876 	1872.60106	2405013.48758
   253  	1872 	 9   4.2321 	1872.67550	2405040.73206
   254  	1872 	10   1.5046 	1872.75001	2405068.00461
   255  	1872 	10  28.7978 	1872.82458	2405095.29782
   256  	1872 	11  25.1060 	1872.89920	2405122.60600
   257  	1872 	12  22.4286 	1872.97385	2405149.92863
   258  	1873 	 1  18.7642 	1873.04867	2405177.26422
   259  	1873 	 2  15.1058 	1873.12358	2405204.60580
   260  	1873 	 3  14.4325 	1873.19845	2405231.93247
   261  	1873 	 4  10.7233 	1873.27321	2405259.22333
   262  	1873 	 5   7.9699 	1873.34786	2405286.46985
   263  	1873 	 6   4.1811 	1873.42241	2405313.68112
   264  	1873 	 7   1.3786 	1873.49693	2405340.87859
   265  	1873 	 7  28.5857 	1873.57147	2405368.08572
   266  	1873 	 8  24.8186 	1873.64608	2405395.31855
   267  	1873 	 9  21.0809 	1873.72077	2405422.58095
   268  	1873 	10  18.3671 	1873.79553	2405449.86711
   269  	1873 	11  14.6698 	1873.87033	2405477.16978
   270  	1873 	12  11.9866 	1873.94517	2405504.48659
   271  	1874 	 1   8.3171 	1874.02005	2405531.81705
   272  	1874 	 2   4.6584 	1874.09495	2405559.15845
   273  	1874 	 3   3.9936 	1874.16985	2405586.49360
   274  	1874 	 3  31.3003 	1874.24466	2405613.80035
   275  	1874 	 4  27.5641 	1874.31935	2405641.06405
   276  	1874 	 5  24.7870 	1874.39394	2405668.28703
   277  	1874 	 6  20.9870 	1874.46846	2405695.48699
   278  	1874 	 7  18.1879 	1874.54298	2405722.68786
   279  	1874 	 8  14.4095 	1874.61756	2405749.90948
   280  	1874 	 9  10.6606 	1874.69222	2405777.16058
   281  	1874 	10   7.9384 	1874.76695	2405804.43837
   282  	1874 	11   4.2352 	1874.84174	2405831.73516
   283  	1874 	12   1.5464 	1874.91657	2405859.04637
   284  	1874 	12  28.8722 	1874.99143	2405859.04637
   285  	1875 	 1  25.2101 	1875.06633	2405913.71006
   286  	1875 	 2  21.5504 	1875.14123	2405941.05035
   287  	1875 	 3  20.8708 	1875.21608	2405968.37084
   288  	1875 	 4  17.1523 	1875.29083	2405995.65227
   289  	1875 	 5  14.3899 	1875.36545	2406022.88986
   290  	1875 	 6  10.5961 	1875.43999	2406050.09609
   291  	1875 	 7   7.7937 	1875.51450	2406077.29373
   292  	1875 	 8   4.0053 	1875.58906	2406104.50534
   293  	1875 	 8  31.2445 	1875.66368	2406131.74451
   294  	1875 	 9  27.5126 	1875.73839	2406159.01256
   295  	1875 	10  24.8027 	1875.81316	2406186.30266
   296  	1875 	11  21.1084 	1875.88797	2406213.60836
   297  	1875 	12  18.4284 	1875.96282	2406240.92839
   298  	1876 	 1  14.7619 	1876.03760	2406268.26192
   299  	1876 	 2  11.1039 	1876.11231	2406295.60391
   300  	1876 	 3   9.4350 	1876.18698	2406322.93497
   301  	1876 	 4   5.7333 	1876.26157	2406350.23329
   302  	1876 	 5   2.9874 	1876.33603	2406377.48740
   303  	1876 	 5  30.2035 	1876.41039	2406404.70346
   304  	1876 	 6  26.4015 	1876.48470	2406431.90146
   305  	1876 	 7  23.6053 	1876.55903	2406459.10528
   306  	1876 	 8  19.8328 	1876.63342	2406486.33282
   307  	1876 	 9  16.0902 	1876.70790	2406513.59015
   308  	1876 	10  13.3727 	1876.78244	2406540.87270
   309  	1876 	11   9.6729 	1876.85703	2406568.17286
   310  	1876 	12   6.9873 	1876.93166	2406595.48728
   311  	1877 	 1   3.3155 	1877.00634	2406622.81545
   312  	1877 	 1  30.6562 	1877.08125	2406650.15618
   313  	1877 	 2  26.9942 	1877.15615	2406677.49418
   314  	1877 	 3  26.3074 	1877.23098	2406704.80744
   315  	1877 	 4  22.5790 	1877.30570	2406732.07900
   316  	1877 	 5  19.8081 	1877.38030	2406759.30807
   317  	1877 	 6  16.0102 	1877.45482	2406786.51020
   318  	1877 	 7  13.2091 	1877.52934	2406813.70905
   319  	1877 	 8   9.4259 	1877.60391	2406840.92588
   320  	1877 	 9   5.6717 	1877.67855	2406868.17166
   321  	1877 	10   2.9453 	1877.75327	2406895.44529
   322  	1877 	10  30.2393 	1877.82805	2406922.73928
   323  	1877 	11  26.5481 	1877.90287	2406950.04813
   324  	1877 	12  23.8715 	1877.97773	2406977.37146
   325  	1878 	 1  20.2076 	1878.05262	2407004.70760
   326  	1878 	 2  16.5491 	1878.12753	2407032.04907
   327  	1878 	 3  15.8747 	1878.20240	2407059.37468
   328  	1878 	 4  12.1638 	1878.27716	2407086.66378
   329  	1878 	 5   9.4086 	1878.35180	2407113.90854
   330  	1878 	 6   5.6188 	1878.42635	2407113.90854
   331  	1878 	 7   2.8161 	1878.50087	2407168.31615
   332  	1878 	 7  30.0240 	1878.57541	2407195.52403
   333  	1878 	 8  26.2580 	1878.65002	2407222.75799
   334  	1878 	 9  22.5214 	1878.72472	2407250.02137
   335  	1878 	10  19.8082 	1878.79947	2407277.30818
   336  	1878 	11  16.1113 	1878.87428	2407304.61134
   337  	1878 	12  13.4287 	1878.94912	2407331.92872
   338  	1879 	 1   9.7598 	1879.02400	2407359.25983
   339  	1879 	 2   6.1015 	1879.09891	2407386.60150
   340  	1879 	 3   5.4361 	1879.17380	2407413.93610
   341  	1879 	 4   1.7415 	1879.24861	2407441.24145
   342  	1879 	 4  29.0034 	1879.32330	2407468.50343
   343  	1879 	 5  26.2251 	1879.39788	2407495.72509
   344  	1879 	 6  22.4246 	1879.47240	2407522.92459
   345  	1879 	 7  19.6259 	1879.54692	2407550.12590
   346  	1879 	 8  15.8485 	1879.62150	2407577.34851
   347  	1879 	 9  12.1007 	1879.69617	2407604.60066
   348  	1879 	10   9.3793 	1879.77090	2407631.87925
   349  	1879 	11   5.6766 	1879.84569	2407659.17660
   350  	1879 	12   2.9884 	1879.92052	2407686.48839
   351  	1879 	12  30.3150 	1879.99538	2407713.81497
   352  	1880 	 1  26.6533 	1880.07009	2407741.15332
   353  	1880 	 2  22.9934 	1880.14479	2407768.49339
   354  	1880 	 3  21.3127 	1880.21943	2407795.81267
   355  	1880 	 4  17.5923 	1880.29397	2407823.09228
   356  	1880 	 5  14.8282 	1880.36838	2407850.32817
   357  	1880 	 6  11.0335 	1880.44271	2407877.53347
   358  	1880 	 7   8.2312 	1880.51703	2407904.73119
   359  	1880 	 8   4.4437 	1880.59138	2407931.94369
   360  	1880 	 8  31.6841 	1880.66580	2407959.18407
   361  	1880 	 9  27.9532 	1880.74031	2407986.45318
   362  	1880 	10  25.2441 	1880.81487	2408013.74405
   363  	1880 	11  21.5504 	1880.88948	2408041.05036
   364  	1880 	12  18.8711 	1880.96413	2408068.37105
   365  	1881 	 1  15.2051 	1881.03892	2408095.70514
   366  	1881 	 2  11.5471 	1881.11383	2408123.04711
   367  	1881 	 3  10.8772 	1881.18870	2408150.37719
   368  	1881 	 4   7.1737 	1881.26349	2408177.67374
   369  	1881 	 5   4.4260 	1881.33815	2408204.92601
   370  	1881 	 5  31.6409 	1881.41271	2408232.14090
   371  	1881 	 6  27.8388 	1881.48723	2408259.33875
   372  	1881 	 7  25.0434 	1881.56176	2408286.54340
   373  	1881 	 8  21.2723 	1881.63636	2408313.77228
   374  	1881 	 9  17.5309 	1881.71104	2408341.03087
   375  	1881 	10  14.8143 	1881.78579	2408368.31428
   376  	1881 	11  11.1150 	1881.86059	2408395.61497
   377  	1881 	12   8.4298 	1881.93542	2408422.92981
   378  	1882 	 1   4.7584 	1882.01030	2408450.25840
   379  	1882 	 2   1.0992 	1882.08520	2408477.59920
   380  	1882 	 2  28.4365 	1882.16010	2408504.93650
   381  	1882 	 3  27.7482 	1882.23493	2408532.24822
   382  	1882 	 4  24.0180 	1882.30964	2408559.51795
   383  	1882 	 5  21.2456 	1882.38423	2408586.74562
   384  	1882 	 6  17.4473 	1882.45876	2408613.94733
   385  	1882 	 7  14.6468 	1882.53328	2408641.14678
   386  	1882 	 8  10.8649 	1882.60785	2408668.36488
   387  	1882 	 9   7.1120 	1882.68250	2408695.61200
   388  	1882 	10   4.3867 	1882.75722	2408722.88664
   389  	1882 	10  31.6812 	1882.83200	2408750.18124
   390  	1882 	11  27.9905 	1882.90682	2408777.49051
   391  	1882 	12  25.3143 	1882.98168	2408804.81433
   392  	1883 	 1  21.6508 	1883.05658	2408832.15080
   393  	1883 	 2  17.9920 	1883.13148	2408859.49198
   394  	1883 	 3  17.3164 	1883.20635	2408886.81640
   395  	1883 	 4  13.6037 	1883.28111	2408914.10370
   396  	1883 	 5  10.8468 	1883.35574	2408941.34676
   397  	1883 	 6   7.0560 	1883.43029	2408968.55601
   398  	1883 	 7   4.2535 	1883.50480	2408995.75345
   399  	1883 	 7  31.4623 	1883.57935	2409022.96225
   400  	1883 	 8  27.6975 	1883.65397	2409050.19749
   401  	1883 	 9  23.9620 	1883.72866	2409077.46204
   402  	1883 	10  21.2497 	1883.80342	2409104.74966
   403  	1883 	11  17.5534 	1883.87823	2409132.05343
   404  	1883 	12  14.8714 	1883.95307	2409159.37142
   405  	1884 	 1  11.2031 	1884.02788	2409186.70310
   406  	1884 	 2   7.5449 	1884.10258	2409214.04487
   407  	1884 	 3   5.8786 	1884.17726	2409241.37863
   408  	1884 	 4   2.1822 	1884.25186	2409268.68225
   409  	1884 	 4  29.4422 	1884.32634	2409295.94223
   410  	1884 	 5  26.6624 	1884.40072	2409323.16243
   411  	1884 	 6  22.8615 	1884.47503	2409350.36150
   412  	1884 	 7  20.0634 	1884.54935	2409377.56341
   413  	1884 	 8  16.2873 	1884.62374	2409404.78731
   414  	1884 	 9  12.5409 	1884.69820	2409432.04089
   415  	1884 	10   9.8206 	1884.77273	2409459.32061
   416  	1884 	11   6.1188 	1884.84732	2409486.61878
   417  	1884 	12   3.4313 	1884.92194	2409513.93126
   418  	1884 	12  30.7585 	1884.99661	2409541.25845
   419  	1885 	 1  27.0970 	1885.07150	2409568.59704
   420  	1885 	 2  23.4365 	1885.14640	2409595.93648
   421  	1885 	 3  22.7541 	1885.22124	2409623.25413
   422  	1885 	 4  19.0316 	1885.29598	2409650.53159
   423  	1885 	 5  16.2656 	1885.37059	2409677.76565
   424  	1885 	 6  12.4701 	1885.44512	2409704.97008
   425  	1885 	 7   9.6681 	1885.51964	2409732.16809
   426  	1885 	 8   5.8818 	1885.59420	2409759.38178
   427  	1885 	 9   2.1237 	1885.66883	2409786.62370
   428  	1885 	 9  29.3942 	1885.74355	2409813.89417
   429  	1885 	10  26.6860 	1885.81832	2409841.18597
   430  	1885 	11  22.9930 	1885.89313	2409868.49297
   431  	1885 	12  20.3143 	1885.96798	2409895.81429
   432  	1886 	 1  16.6488 	1886.04287	2409923.14881
   433  	1886 	 2  12.9906 	1886.11778	2409950.49056
   434  	1886 	 3  12.3194 	1886.19266	2409977.81943
   435  	1886 	 4   8.6141 	1886.26744	2410005.11405
   436  	1886 	 5   5.8644 	1886.34209	2410032.36439
   437  	1886 	 6   2.0781 	1886.41665	2410059.57804
   438  	1886 	 6  29.2758 	1886.49117	2410086.77575
   439  	1886 	 7  26.4812 	1886.56570	2410113.98122
   440  	1886 	 8  22.7114 	1886.64031	2410141.21141
   441  	1886 	 9  18.9713 	1886.71499	2410168.47127
   442  	1886 	10  16.2556 	1886.78974	2410195.75560
   443  	1886 	11  12.5569 	1886.86454	2410223.05693
   444  	1886 	12   9.8724 	1886.93938	2410250.37241
   445  	1887 	 1   6.2016 	1887.01425	2410277.70161
   446  	1887 	 2   2.5427 	1887.08916	2410305.04265
   447  	1887 	 3   1.8793 	1887.16405	2410332.37934
   448  	1887 	 3  29.1895 	1887.23888	2410359.68951
   449  	1887 	 4  25.4573 	1887.31358	2410386.95731
   450  	1887 	 5  22.6834 	1887.38817	2410414.18340
   451  	1887 	 6  18.8844 	1887.46270	2410441.38443
   452  	1887 	 7  16.0842 	1887.53722	2410468.58422
   453  	1887 	 8  12.3034 	1887.61179	2410495.80336
   454  	1887 	 9   8.5517 	1887.68644	2410523.05172
   455  	1887 	10   5.8274 	1887.76117	2410550.32741
   456  	1887 	11   2.1228 	1887.83595	2410577.62279
   457  	1887 	11  29.4328 	1887.91077	2410604.93281
